# SPDX-FileCopyrightText: 2026 Priya Vijai Kalyan <priyavijai.kalyan2007@proton.me>
# SPDX-FileCopyrightText: 2026 Outcrop Inc
# SPDX-License-Identifier: MIT
# Repository: instructions
# File GUID: 9c816275-a3bc-49d7-b02e-ce7e50b32ee0
# Created: 2026

Framework|Github Link or Nuget Link|Description|Quality|Recommendation
||||
=== WEB FRAMEWORK & API ===||||Core frameworks for building web applications and APIs
ASP.NET Core|https://github.com/dotnet/aspnetcore|Microsoft's cross-platform web framework. The foundation for all .NET web apps - includes MVC, Razor Pages, Web API, Minimal APIs, and SignalR for real-time. Built-in DI, middleware pipeline, and extensive ecosystem.|Excellent - Microsoft-backed, extremely stable, enterprise-grade, massive community|Essential - This is your primary web framework. Use Minimal APIs for microservices and Controllers for complex enterprise APIs.
Carter|https://github.com/CarterCommunity/Carter|Thin layer over ASP.NET Core Minimal APIs providing a more structured, modular approach with automatic route discovery and validation integration.|Very Good - Stable, well-maintained, clean API design|Recommended for teams preferring modular endpoint organization over controllers
FastEndpoints|https://github.com/FastEndpoints/FastEndpoints|High-performance alternative to MVC controllers following REPR pattern (Request-Endpoint-Response). Built-in validation, auth, and OpenAPI support with minimal boilerplate.|Excellent - Very active development, great performance, growing adoption|Highly Recommended - Modern approach combining best of Minimal APIs and structured endpoints
||||
=== ORM & DATA ACCESS ===||||Database connectivity and object-relational mapping
Entity Framework Core|https://github.com/dotnet/efcore|Microsoft's official ORM. Supports LINQ, migrations, change tracking, lazy loading, complex relationships. Excellent PostgreSQL support via Npgsql provider.|Excellent - Microsoft-backed, most popular .NET ORM, extensive documentation|Essential - Primary ORM for complex domain models. Use with Npgsql.EntityFrameworkCore.PostgreSQL provider.
Npgsql|https://github.com/npgsql/npgsql|The .NET data provider for PostgreSQL. High performance, supports all PostgreSQL features including arrays, JSON, ranges, full-text search, spatial data.|Excellent - Very active, PostgreSQL-native, used by EF Core PostgreSQL provider|Essential - Required for PostgreSQL connectivity. Install Npgsql.EntityFrameworkCore.PostgreSQL for EF Core.
Dapper|https://github.com/DapperLib/Dapper|Micro-ORM focused on raw SQL performance. Simple object mapping without change tracking overhead. Created by Stack Overflow team.|Excellent - Battle-tested at Stack Overflow scale, very stable, minimal dependencies|Highly Recommended - Use alongside EF Core for performance-critical queries and reporting
SqlKata|https://github.com/sqlkata/querybuilder|Fluent SQL query builder supporting multiple databases. Generates parameterized queries safely. Works great with Dapper.|Very Good - Clean API, multi-database support, prevents SQL injection|Recommended - Useful for dynamic query building when raw SQL with Dapper is needed
EFCore.BulkExtensions|https://github.com/borisdj/EFCore.BulkExtensions|Extends EF Core with bulk operations (BulkInsert, BulkUpdate, BulkDelete, BulkMerge). Massive performance improvement for batch operations.|Very Good - Active development, significant performance gains|Highly Recommended - Essential for any bulk data operations, ETL processes
Marten|https://github.com/JasperFx/marten|Document database and event store using PostgreSQL's JSON capabilities. Combines NoSQL flexibility with PostgreSQL reliability.|Excellent - Very active, unique approach, great for event sourcing|Recommended if you need document storage or event sourcing without additional infrastructure
||||
=== AUTHENTICATION & AUTHORIZATION ===||||Identity, authentication, and access control
ASP.NET Core Identity|https://github.com/dotnet/aspnetcore/tree/main/src/Identity|Built-in membership system for user registration, login, password management, roles, claims, 2FA, external providers (Google, Facebook, etc).|Excellent - Microsoft-backed, well-integrated, extensive customization options|Essential - Base identity system. Extend with your own providers as needed.
Duende IdentityServer|https://github.com/DuendeSoftware/IdentityServer|OpenID Connect and OAuth 2.0 framework. Full-featured identity provider with support for all modern auth flows, consent, federation.|Excellent - Industry standard, extremely comprehensive, great documentation|Highly Recommended for B2B - Commercial license required for revenue >$1M, essential for enterprise SSO
OpenIddict|https://github.com/openiddict/openiddict-core|Free and open-source OAuth 2.0/OpenID Connect stack. More flexible than IdentityServer, good for custom implementations.|Very Good - Active development, fully open-source, growing adoption|Recommended - Free alternative to Duende. Good choice if you need full control over auth server.
ASP.NET Core Authorization|Built into ASP.NET Core|Policy-based authorization with requirements, handlers, and resources. Supports role-based, claims-based, and custom authorization.|Excellent - Microsoft-backed, very flexible, well-documented|Essential - Use for all authorization logic. Combine with Casbin for complex scenarios.
Casbin.NET|https://github.com/casbin/Casbin.NET|Powerful authorization library supporting ACL, RBAC, ABAC, and custom models. Policy defined in configuration, not code.|Very Good - Mature project ported from Go, highly flexible|Recommended for complex authorization - Great for multi-tenant B2B with complex permission models
||||
=== API DOCUMENTATION & CONTRACTS ===||||OpenAPI, Swagger, and API documentation
Swashbuckle.AspNetCore|https://github.com/domaindrivendev/Swashbuckle.AspNetCore|Swagger/OpenAPI generator for ASP.NET Core. Auto-generates OpenAPI spec from controllers/endpoints, includes Swagger UI.|Very Good - Most popular choice, good integration, active maintenance|Recommended - Standard choice for OpenAPI documentation
